,0
0,4
1,4
2,5
3,1
4,4
5,4
6,1
7,1
8,3
9,4
10,4
11,1
12,4
13,5
14,5
15,4
16,3
17,5
18,4
19,1
20,1
21,5
22,5
23,4
24,1
25,4
26,5
27,1
28,1
29,4
30,1
31,5
32,4
33,4
34,4
35,4
36,4
37,3
38,1
39,5
40,4
41,4
42,5
43,6
44,5
45,2
46,5
47,4
48,5
49,5
50,5
51,1
52,4
53,5
54,1
55,1
56,1
57,0
58,5
59,5
60,5
61,5
62,5
63,5
64,4
65,5
66,4
67,4
68,1
69,5
70,3
71,4
72,5
73,4
74,4
75,4
76,1
77,4
78,4
79,1
80,5
81,1
82,6
83,4
84,5
85,4
86,4
87,1
88,5
89,5
90,6
91,1
92,4
93,5
94,5
95,4
96,4
97,3
98,4
99,4
100,4
101,0
102,4
103,4
104,4
105,4
106,1
107,5
108,1
109,4
110,4
111,4
112,4
113,4
114,5
115,4
116,0
117,4
118,5
119,4
120,4
121,6
122,1
123,4
124,5
125,1
126,1
127,5
128,5
129,3
130,5
131,1
132,5
133,4
134,4
135,1
136,5
137,1
138,4
139,5
140,4
141,4
142,1
143,5
144,5
145,5
146,1
147,4
148,1
149,1
150,4
151,1
152,1
153,5
154,5
155,5
156,4
157,1
158,1
159,1
160,4
161,5
162,5
163,4
164,4
165,4
166,5
167,5
168,5
169,2
170,4
171,5
172,4
173,5
174,1
175,5
176,4
177,3
178,1
179,5
180,4
181,3
182,4
183,5
184,4
185,4
186,4
187,4
188,3
189,4
190,6
191,5
192,5
193,1
194,5
195,1
196,1
197,5
198,1
199,4
200,1
201,4
202,2
203,1
204,1
205,5
206,1
207,5
208,6
209,1
210,4
211,3
212,3
213,4
214,5
215,1
216,4
217,5
218,5
219,5
220,4
221,5
222,3
223,1
224,5
225,4
226,5
227,4
228,1
229,1
230,4
231,4
232,4
233,3
234,4
235,1
236,3
237,4
238,4
239,4
240,4
241,5
242,4
243,3
244,4
245,5
246,4
247,5
248,4
249,3
250,5
251,5
252,5
253,4
254,5
255,5
256,1
257,3
258,4
259,4
260,5
261,5
262,5
263,5
264,5
265,4
266,4
267,5
268,1
269,4
270,1
271,1
272,4
273,4
274,4
275,4
276,5
277,5
278,6
279,5
280,5
281,1
282,4
283,4
284,5
285,5
286,5
287,4
288,3
289,3
290,5
291,4
292,4
293,1
294,4
295,5
296,3
297,4
298,5
299,1
300,5
301,4
302,4
303,5
304,4
305,4
306,4
307,5
308,1
309,4
310,4
311,4
312,4
313,1
314,5
315,4
316,4
317,1
318,4
319,5
320,4
321,5
322,4
323,5
324,1
325,1
326,6
327,5
328,4
329,4
330,5
331,4
332,5
333,5
334,4
335,4
336,1
337,1
338,4
339,4
340,4
341,5
342,2
343,1
344,6
345,1
346,5
347,4
348,5
349,5
350,2
351,5
352,3
353,2
354,1
355,1
356,5
357,1
358,5
359,1
360,1
361,2
362,2
363,1
364,5
365,4
366,5
367,1
368,2
369,1
370,1
371,1
372,6
373,1
374,5
375,3
376,2
377,4
378,4
379,4
380,5
381,4
382,4
383,4
384,4
385,4
386,4
387,5
388,4
389,1
390,5
391,1
392,1
393,4
394,4
395,4
396,1
397,1
398,4
399,4
400,5
401,1
402,6
403,0
404,4
405,5
406,1
407,5
408,4
409,4
410,1
411,3
412,1
413,1
414,5
415,4
416,4
417,4
418,4
419,5
420,5
421,5
422,4
423,5
424,5
425,1
426,4
427,5
428,4
429,5
430,5
431,5
432,5
433,4
434,4
435,5
436,1
437,5
438,5
439,5
440,5
441,1
442,1
443,4
444,1
445,5
446,4
447,3
448,5
449,5
450,1
451,1
452,4
453,5
454,4
455,4
456,4
457,5
458,5
459,4
460,1
461,4
462,5
463,1
464,5
465,4
466,5
467,5
468,4
469,5
470,5
471,4
472,5
473,5
474,5
475,5
476,5
477,5
478,4
479,4
480,5
481,4
482,5
483,4
484,4
485,4
486,5
487,4
488,5
489,5
490,4
491,4
492,4
493,4
494,4
495,1
496,4
497,5
498,4
499,1
500,3
501,5
502,2
503,3
504,5
505,4
506,5
507,1
508,1
509,4
510,5
511,5
512,4
513,5
514,5
515,1
516,5
517,1
518,1
519,6
520,1
521,5
522,4
523,4
524,4
525,5
526,5
527,4
528,5
529,2
530,1
531,1
532,3
533,1
534,5
535,4
536,4
537,3
538,5
539,1
540,5
541,0
542,1
543,4
544,4
545,4
546,4
547,5
548,4
549,5
550,5
551,2
552,5
553,1
554,5
555,4
556,5
557,5
558,4
559,5
560,5
561,5
562,0
563,4
564,4
565,5
566,6
567,6
568,5
569,4
570,1
571,5
572,4
573,6
574,1
575,4
576,3
577,0
578,5
579,2
580,6
581,5
582,4
583,0
584,1
585,4
586,1
587,4
588,6
589,5
590,5
591,4
592,5
593,4
594,4
595,4
596,2
597,5
598,1
599,4
600,5
601,4
602,5
603,5
604,5
605,1
606,5
607,5
608,1
609,6
610,4
611,4
612,0
613,5
614,4
615,5
616,4
617,1
618,1
619,4
620,4
621,5
622,4
623,5
624,4
625,4
626,3
627,4
628,5
629,4
630,0
631,5
632,4
633,4
634,2
635,5
636,5
637,4
638,4
639,1
640,4
641,4
642,3
643,5
644,4
645,4
646,5
647,4
648,5
649,4
650,4
651,1
652,4
653,4
654,5
655,4
656,6
657,5
658,4
659,4
660,5
661,4
662,5
663,4
664,3
665,4
666,4
667,4
668,5
669,1
670,4
671,5
672,4
673,4
674,1
675,1
676,4
677,0
678,4
679,4
680,4
681,5
682,4
683,4
684,6
685,5
686,4
687,6
688,1
689,0
690,5
691,5
692,4
693,5
694,5
695,4
696,4
697,4
698,4
699,6
700,5
701,4
702,4
703,4
704,4
705,5
706,6
707,5
708,5
709,5
710,4
711,0
712,1
713,0
714,5
715,1
716,1
717,4
718,0
719,4
720,6
721,4
722,5
723,4
724,4
725,6
726,4
727,4
728,3
729,4
730,1
731,0
732,5
733,4
734,4
735,1
736,6
737,4
738,0
739,0
740,3
741,1
742,0
743,0
744,4
745,0
746,5
747,6
748,2
749,2
750,5
751,5
752,5
753,5
754,5
755,5
756,3
757,5
758,5
759,5
760,4
761,1
762,4
763,2
764,4
765,1
766,4
767,5
768,2
769,5
770,4
771,0
772,5
773,5
774,5
775,0
776,2
777,4
778,2
779,4
780,5
781,5
782,3
783,4
784,4
785,4
786,4
787,5
788,2
789,5
790,2
791,5
792,4
793,5
794,4
795,5
796,4
797,5
798,4
799,5
800,4
801,3
802,4
803,5
804,4
805,4
806,4
807,0
808,2
809,2
810,3
811,5
812,5
813,1
814,5
815,2
816,4
817,1
818,4
819,2
820,4
821,4
822,1
823,4
824,5
825,5
826,1
827,4
828,5
829,1
830,5
831,5
832,1
833,5
834,2
835,5
836,2
837,1
838,3
839,5
840,2
841,5
842,5
843,4
844,4
845,5
846,5
847,5
848,1
849,4
850,1
851,5
852,4
853,4
854,4
855,0
856,4
857,5
858,4
859,4
860,5
861,1
862,0
863,4
864,5
865,1
866,4
867,4
868,5
869,5
870,1
871,1
872,1
873,4
874,4
875,5
876,4
877,5
878,4
879,1
880,3
881,4
882,1
883,1
884,4
885,4
886,1
887,5
888,5
889,1
890,5
891,4
892,4
893,4
894,5
895,4
896,1
897,5
898,4
899,5
900,1
901,5
902,1
903,1
904,5
905,4
906,5
907,2
908,4
909,4
910,5
911,4
912,4
913,5
914,4
915,4
916,5
917,1
918,4
919,5
920,1
921,1
922,5
923,5
924,1
925,1
926,1
927,1
928,5
929,1
930,3
931,5
932,1
933,1
934,3
935,3
936,3
937,5
938,5
939,5
940,4
941,5
942,1
943,1
944,5
945,4
946,1
947,3
948,5
949,1
950,1
951,1
952,5
953,5
954,5
955,4
956,5
957,5
958,5
959,4
960,1
961,4
962,5
963,1
964,1
965,1
966,4
967,0
968,5
969,5
970,5
971,0
972,1
973,5
974,3
975,4
976,4
977,5
978,5
979,2
980,2
981,3
982,1
983,4
984,2
985,5
986,2
987,2
988,4
989,1
990,3
991,5
992,5
993,1
994,0
995,5
996,0
997,4
998,5
999,2
1000,4
1001,3
1002,1
1003,5
1004,4
1005,1
1006,2
1007,0
1008,1
1009,5
1010,2
1011,2
1012,2
1013,4
1014,5
1015,4
1016,1
1017,0
1018,5
1019,4
1020,5
1021,1
1022,5
1023,4
1024,4
1025,3
1026,4
1027,4
1028,5
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,5
1036,5
1037,5
1038,5
1039,4
1040,4
1041,5
1042,4
1043,4
1044,4
1045,4
1046,4
1047,5
1048,4
1049,5
1050,5
1051,5
1052,4
1053,1
1054,4
1055,4
1056,5
1057,5
1058,4
1059,4
1060,5
1061,5
1062,4
1063,4
1064,4
1065,5
1066,1
1067,0
1068,1
1069,2
1070,1
1071,0
1072,1
1073,0
1074,1
1075,1
1076,3
1077,5
1078,0
1079,4
1080,0
1081,0
1082,1
1083,6
1084,6
1085,5
1086,2
1087,0
1088,4
1089,5
1090,0
1091,3
1092,6
1093,1
1094,4
1095,1
1096,0
1097,0
1098,1
1099,4
1100,6
1101,0
1102,1
1103,3
1104,1
1105,0
1106,6
1107,1
1108,1
1109,0
1110,2
1111,2
1112,0
1113,2
1114,0
1115,4
1116,0
1117,5
1118,1
1119,0
1120,0
1121,0
1122,1
1123,4
1124,0
1125,0
1126,0
1127,4
1128,0
1129,2
1130,4
1131,0
1132,6
1133,1
1134,6
1135,2
1136,1
1137,1
1138,2
1139,2
1140,2
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,0
1148,5
1149,0
1150,2
1151,0
1152,1
1153,6
1154,4
1155,5
1156,1
1157,1
1158,1
1159,2
1160,3
1161,1
1162,5
1163,0
1164,3
1165,5
1166,4
1167,5
1168,5
1169,1
1170,3
1171,4
1172,0
1173,0
1174,3
1175,5
1176,5
1177,0
1178,4
1179,4
1180,0
1181,5
1182,4
1183,0
1184,4
1185,3
1186,0
1187,0
1188,0
1189,4
1190,0
1191,5
1192,2
1193,4
1194,6
1195,4
1196,1
1197,5
1198,4
1199,6
1200,1
1201,2
1202,5
1203,0
1204,0
1205,4
1206,5
1207,5
1208,5
1209,4
1210,5
1211,4
1212,5
1213,4
1214,1
1215,4
1216,0
1217,5
1218,5
1219,0
1220,0
1221,1
1222,5
1223,2
1224,4
1225,6
1226,5
1227,5
